model_type,input_shape,amplitude_shape,data_dir,seed,var_y,activation,width,depth,skip_block_layers,beta,alpha,normal_scaled,lr_decay_type,initial_lr,final_lr,decay_steps,train-sample-size,validate-sample-size,test-sample-size,use_MC_sample,batch_size,steps_per_epoch,early_stopping_start_epoch,patience,monitor,loss,gradient_clipping,verbose,base_directory,epochs,model-uuid,start_time,device,directory,train-samples-used,validate-samples-used,test-samples-used,n_targets,scaling,trainable_parameters,non_trainable_parameters,total_parameters,final_decayed_lr,final_validation_r2,final_validation_loss,last_epoch,n_training_epochs,fit_time,end_time,training_status,config_path,bn_mode,dropout_rate,load_checkpoint,tm_r2_y5,tm_r2_y6,tm_r2_model,tm_abs_score_y5,tm_abs_score_y6,tm_abs_score_model
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,800517a0,2025-03-03 02:51:16 -0500,cuda,../models/skip-light-torch-4D-y5_y6-800517a0,6,6,6,2,{},56226,0,56226,0.0002713629820200695,12.585652354898874,8.912548877257237,104,54,3:52:40,2025-03-03 06:46:45 -0500,complete,../models/skip-light-torch-4D-y5_y6-800517a0--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse--20.877638-23.832512/config-800517a0.json,per_layer,0.2,,0.023082869271806583,3.523504772105779,23.832512208421015,9.045416569048228,-306.373876260574,-20.877637664040915
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,36,4,3,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,9f0fa061,2025-04-04 08:37:43 -0400,cuda,../models/skip-light-torch-4D-y5_y6-9f0fa061,6,6,6,2,{},17102,0,17102,8.951640036660089e-05,99.47079593949628,0.05124217698925921,152,102,1:53:35,2025-04-04 10:34:09 -0400,complete,../models/skip-light-torch-4D-y5_y6-9f0fa061--4-36-leaky_relu-1024-adam-exp-schedule-mse-val_mse-95.156383-99.779079/config-9f0fa061.json,per_layer,,,60.40191415517694,25.612294575929916,99.77907914598165,96.2915541331029,97.20536648579416,95.15638270295132
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,29,13,9,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,b2bb1ae8,2024-11-18 11:06:57 -0500,cuda,../models/skip-light-torch-4D-y5_y6-b2bb1ae8,6,6,6,2,{},101995,0,101995,0.00011020761621408755,99.78387166806819,0.022947948419303567,143,93,4:35:25,2024-11-18 15:45:19 -0500,complete,../models/skip-light-torch-4D-y5_y6-b2bb1ae8--13-29-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.667286-99.840031/config-b2bb1ae8.json,,,,56.45943742724023,39.72703555338987,99.84003089456873,98.61645673139446,98.15902163860667,96.66728570698211
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,29,13,9,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,4096,2400,5,50,val_mse,mse,True,1,../models/,50,b54a9dd5,2024-11-22 10:50:12 -0500,cuda,../models/skip-light-torch-4D-y5_y6-b54a9dd5,6,6,6,2,{},101995,0,101995,0.0009670277313296825,99.69696071697251,0.03190624758118231,49,44,1:57:33,2024-11-22 12:48:52 -0500,complete,../models/skip-light-torch-4D-y5_y6-b54a9dd5--13-29-leaky_relu-4096-adam-exp-schedule-mse-val_mse-95.813576-99.727275/config-b54a9dd5.json,,,,55.69400652999417,22.752960033711854,99.72727540140531,99.76813461999463,99.93540998216251,95.81357615966412
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,36,4,3,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,c3127350,2025-04-25 06:09:08 -0400,cuda,../models/skip-light-torch-4D-y5_y6-c3127350,6,6,6,2,{},17102,0,17102,8.951640036660089e-05,99.47079593949628,0.05124217698925921,152,102,1:56:56,2025-04-25 08:09:01 -0400,complete,../models/skip-light-torch-4D-y5_y6-c3127350--4-36-leaky_relu-1024-adam-exp-schedule-mse-val_mse-95.156383-99.779079/config-c3127350.json,,,,60.40191415517694,25.612294575929916,99.77907914598165,96.2915541331029,97.20536648579416,95.15638270295132
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,46,5,11,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,d69769ad,2024-11-11 23:05:11 -0500,cuda,../models/skip-light-torch-4D-y5_y6-d69769ad,6,6,6,2,{},119234,0,119234,4.909191200721646e-05,99.72459264505605,0.027746457236481135,178,128,3:02:34,2024-11-12 02:11:05 -0500,complete,../models/skip-light-torch-4D-y5_y6-d69769ad--5-46-leaky_relu-1024-adam-exp-schedule-mse-val_mse-96.467376-99.790812/config-d69769ad.json,,,,62.46379131084505,39.925550000908586,99.7908123327758,96.78641608843,98.94276099826885,96.46737554634099
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,de8cdea5,2025-03-03 10:56:31 -0500,cuda,../models/skip-light-torch-4D-y5_y6-de8cdea5,6,6,6,2,{},53666,0,53666,3.0925966658739416e-05,99.6186178893165,0.03698516617301996,198,148,4:02:37,2025-03-03 15:02:05 -0500,complete,../models/skip-light-torch-4D-y5_y6-de8cdea5--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-89.764256-99.627760/config-de8cdea5.json,per_block,0.01,,57.97972219167268,46.231689253714414,99.62776015059973,92.81153340339146,99.3020984728563,89.76425550381744
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,14,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,e0b628c3,2025-03-03 15:24:29 -0500,cuda,../models/skip-light-torch-4D-y5_y6-e0b628c3,6,6,6,2,{},75042,0,75042,0.00010282734184637045,99.61140306721836,0.037602571778711444,146,96,3:30:53,2025-03-03 18:58:11 -0500,complete,../models/skip-light-torch-4D-y5_y6-e0b628c3--14-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-94.351611-99.717933/config-e0b628c3.json,per_block,,,58.27834994409016,41.96657380077477,99.71793338109092,97.84102116891843,93.74203352282517,94.35161061558928
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,f26ebb0f,2025-03-03 10:27:28 -0500,cuda,../models/skip-light-torch-4D-y5_y6-f26ebb0f,6,6,6,2,{},56226,0,56226,7.440942431100879e-05,99.5655634498106,0.04246809908810907,160,110,6:10:02,2025-03-03 16:41:18 -0500,complete,../models/skip-light-torch-4D-y5_y6-f26ebb0f--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-95.534878-99.835524/config-f26ebb0f.json,per_layer,,,66.46872968564513,38.14439348339661,99.83552419782896,97.69673356792546,96.0871821415253,95.5348776926481
skip-light,4,36,/scratch/akula.ha/dataset,42,"['y5', 'y6']",leaky_relu,32,10,5,0,0,False,exp,0.003,1e-06,120000,10000000,500000,500000,False,1024,2400,50,50,val_mse,mse,True,1,../models/,2000,fb6f6b11,2024-11-09 15:24:43 -0500,cuda,../models/skip-light-torch-4D-y5_y6-fb6f6b11,6,6,6,2,{},53026,0,53026,6.576926064312645e-06,99.95449502012042,0.004631472688359007,265,215,5:57:31,2024-11-09 21:25:23 -0500,complete,../models/skip-light-torch-4D-y5_y6-fb6f6b11--10-32-leaky_relu-1024-adam-exp-schedule-mse-val_mse-98.117280-99.951496/config-fb6f6b11.json,,,,78.35601472438599,19.22357447953098,99.95149596268271,99.84492972311931,99.17582127287378,98.11727962838984
